item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP1040,V,MVVTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1452,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1056,V,MVVMATYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1577,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1064,V,WVVTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1647,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1075,V,WVTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1725,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1083,V,WMVVTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1797,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1096,V,VEXTTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1876,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1099,V,VMVXS,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1939,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1101,V,MVVCOMPRESS,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1978,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1104,V,MVXTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:2061,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1122,V,MVXMATYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:2192,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1130,V,WVXTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:2261,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1141,V,WXTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:2338,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1149,V,WMVXTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:2409,opcode_sweep.py extensions/V/vext_arith_insts.sail
